model	simID	S	log10S	tree.length	PD	Gamma	Beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
XE	21342	158	2.198657087	9994610	88.10271016	-5.504650744	-1.603809688	4398	4880	327.9846459	30.88607595	440.4964928	0.957333193	0.885576789	1.364189108	0.306798615	5418857308	-0.797042923	2.479401398	211	0.136610365
XE	21343	144	2.158362492	9990940	86.58710131	-6.919568633	-1.575673295	3485	3925	285.1330274	27.25694444	351.3950563	0.965053339	0.901901163	1.336235186	0.318441045	4863144287	-0.677261055	2.282806226	177	0.17601071
XE	21351	101	2.004321374	9996319	65.3053643	-6.396871501	-1.637109059	2210	2492	210.6322166	24.67326733	276.9421782	0.965172281	0.937946717	1.293695351	0.354735127	3358880608	-0.670508424	2.056214779	137	0.221808682
XE	21352	118	2.071882007	9994610	66.06748648	-3.73749389	-1.517679784	2291	2651	216.7270463	22.46610169	211.4988411	0.971274572	0.90329318	1.392316426	0.328517739	4019493502	-0.90973922	2.507102383	174	0.144451377
XE	21353	106	2.025305865	9990940	64.51204631	-4.934059311	-1.64159583	2472	2770	222.8331378	26.13207547	284.6109614	0.963523673	0.935448278	1.328436926	0.357639373	3569901664	-0.719716871	2.134733299	140	0.187057773
XE	21361	45	1.653212514	8741056	14.82425602	0.840452041	-1.99992847	946	1034	125.3172711	22.97777778	171.5222222	0.471829258	0.967966509	0.636543587	0.254120931	1434245308	1.992844755	1.62383526	6	0.099368849
XE	21362	65	1.812913357	9958994	16.07339215	2.891493633	-1.99992847	2016	2144	205.1681995	32.98461538	356.5153846	0.371068722	0.975334716	0.510542945	0.214335157	2418629584	2.473837062	1.851995727	2	0.181513804
XE	21363	52	1.716003344	9395130	15.22970007	2.432500268	-1.981995953	1233	1337	148.6960205	25.71153846	219.4249623	0.452216565	0.969720826	0.631491437	0.293654512	1800980848	1.91043795	1.669963242	7	0.135917913
XE	21411	178	2.250420002	9815041	91.79960461	-7.733387203	-1.865321393	12311	12717	621.0243491	71.44382022	1976.123945	0.752090235	0.983590811	0.993980433	0.276333033	6066120479	0.33606975	1.133894544	4	0.105374944
XE	21412	215	2.33243846	9958994	109.0278845	-7.404403367	-1.848729229	17754	18254	765.7982962	84.90232558	2601.714714	0.759931889	0.985221807	1.017426688	0.281265242	7468020648	0.306750491	1.134636301	259	0.093845815
XE	21413	173	2.238046103	9960465	94.19889353	-7.985909974	-1.850555135	11063	11467	578.9514743	66.28323699	1725.692566	0.799111447	0.980710265	1.059430801	0.291792308	5928313841	0.040543671	1.228004781	222	0.127566026
XE	21421	178	2.250420002	9815041	91.79960461	-7.733387203	-1.865321393	12311	12717	621.0243491	71.44382022	1976.123945	0.752090235	0.983590811	0.993980433	0.276333033	6066120479	0.33606975	1.133894544	4	0.105374944
XE	21422	215	2.33243846	9958994	109.0278845	-7.404403367	-1.848729229	17754	18254	765.7982962	84.90232558	2601.714714	0.759931889	0.985221807	1.017426688	0.281265242	7468020648	0.306750491	1.134636301	259	0.093845815
XE	21423	172	2.235528447	9960465	93.62221884	-7.975473074	-1.849594	10914	11316	573.9639376	65.79069767	1699.628451	0.79911182	0.980318483	1.059653625	0.291871742	5894226233	0.041623772	1.22844022	220	0.127287605
XE	21431	176	2.245512668	9815041	91.22994749	-7.745242044	-1.863602845	12010	12412	611.1270014	70.52272727	1923.199481	0.754994804	0.983353316	0.997222928	0.276450579	5993196375	0.313998784	1.134401116	4	0.107486756
XE	21432	210	2.322219295	9958994	107.0390602	-7.45863941	-1.86132578	17338	17820	758.1830812	84.85714286	2574.190021	0.754638942	0.985636082	1.004305162	0.280168245	7288644083	0.361910821	1.137495689	253	0.09561386
XE	21433	170	2.230448921	9960465	92.22381626	-7.844392263	-1.834356877	10413	10815	554.9559885	63.61764706	1594.971284	0.803179255	0.979861776	1.069718846	0.290949875	5828492167	-0.00398295	1.284283161	218	0.125497813
XE	21441	96	1.982271233	9781478	42.61600251	-4.006302567	-1.919725316	3855	4061	306.514132	42.30208333	668.570943	0.650523615	0.977578963	0.867502288	0.261877626	3312535382	0.928457876	1.043742241	4	0.081808363
XE	21442	121	2.08278537	9958994	50.46255395	-2.171968722	-1.854572762	5091	5377	360.9742051	44.43801653	819.5815427	0.712352434	0.974032751	1.016718233	0.313630221	4295517183	0.655786605	1.020942224	22	0.057424797
