model,simID,S,gamma.stat,beta.stat,Colless,Sackin,shape.stat,MRD,VRD,PSV,mean.Iprime,pch,col
etienne,13333,24,2.842370309,0.544816218,49,133,22.45203439,5.541666667,2.432971014,0.541373902,0.449970484,17,darkblue
etienne,21331,38,2.709573789,0.960204031,88,236,38.3818211,6.210526316,2.549075391,0.655537819,0.485007078,17,darkblue
etienne,21332,42,2.912246527,-0.847439301,185,337,49.03997438,8.023809524,12.75551684,0.550252714,0.557182317,17,darkblue
etienne,21333,44,2.712895657,-0.734766327,169,337,51.03012717,7.659090909,8.09038055,0.56906159,0.554295164,17,darkblue
etienne,22331,28,1.55663054,-0.974341803,84,176,31.73921985,6.285714286,6.878306878,0.482551718,0.619328068,17,darkblue
etienne,22332,27,0.961449643,-0.33585461,78,168,27.30999939,6.222222222,4.487179487,0.497022888,0.519309163,17,darkblue
etienne,22333,31,1.806662125,-0.635933508,75,189,34.07970723,6.096774194,4.956989247,0.690297412,0.576610644,17,darkblue
etienne,23331,33,3.067302305,0.230254595,67,195,34.51448485,5.909090909,3.085227273,0.645782756,0.512671958,17,darkblue
etienne,23332,37,3.419876768,-0.77687101,127,259,42.43359687,7,8.777777778,0.579099946,0.604724039,17,darkblue
etienne,23333,36,2.701641135,4.71980446,57,205,32.25052636,5.694444444,1.703968254,0.569337488,0.190795207,17,darkblue
etienne,32321,49,3.729198958,0.026207883,152,348,53.10289418,7.102040816,5.510204082,0.55602992,0.459620578,17,darkblue
etienne,32322,50,3.172194747,3.690230131,75,311,52.94331056,6.22,1.766938776,0.685918425,0.4873668,17,darkblue
etienne,32323,49,2.724855452,-0.624784637,183,369,56.34538667,7.530612245,7.587585034,0.613191014,0.551721743,17,darkblue
etienne,32331,167,3.353026472,-0.385186187,866,1752,199.9418568,10.49101796,7.781545343,0.597038787,0.498517529,17,darkblue
etienne,32332,176,3.212616583,0.598042339,751,1673,197.1192423,9.505681818,6.948538961,0.641493384,0.451911904,17,darkblue
etienne,32333,183,3.13931906,-0.202431614,752,1720,219.4520694,9.398907104,6.219119678,0.731942904,0.584794185,17,darkblue
etienne,33321,30,3.357506904,-0.48619918,95,193,31.79005953,6.433333333,6.116091954,0.536621274,0.637585034,17,darkblue
etienne,33322,30,2.936875117,2.532302894,46,164,28.56548568,5.466666667,2.326436782,0.648015994,0.432051282,17,darkblue
etienne,33323,33,3.356979106,-0.402863184,88,206,35.44670073,6.242424242,3.626893939,0.558341837,0.521056548,17,darkblue
etienne,33331,70,3.882704721,0.176718467,209,515,77.88064376,7.357142857,4.870600414,0.576273357,0.547206698,17,darkblue
etienne,33332,71,3.522897402,-0.192995639,258,576,79.79176832,8.112676056,5.387122736,0.454994481,0.497206085,17,darkblue
etienne,33333,72,3.40776854,-0.203744894,262,586,82.13039819,8.138888889,5.473395931,0.404461395,0.540494426,17,darkblue
