model	simID	S	log10S	tree.length	PD	Gamma	Beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
Amphibian	6821	26	1.414973348	12.12499715	11.68937209	-1.006153391	-0.182854277	69	159	25.23727423	6.115384615	3.786153846	0.843311837	0.508227379	1.283736022	0.276143617	1093.449757	-0.50598168	2.131402935	37	0.059276584
Amphibian	6822	24	1.380211242	11.52926716	10.70844944	-0.741625868	0.615779225	47	131	22.0183984	5.458333333	2.519927536	0.859697024	0.470909091	1.324889414	0.303947862	950.7559433	-0.56558741	2.188808395	33	0.058919914
Amphibian	6823	21	1.322219295	11.52392036	9.113650278	-0.549019273	3.546794369	28	102	18.18975701	4.857142857	1.528571429	0.825165704	0.436111111	1.275006185	0.307849843	817.8663755	-0.449926952	2.17556176	28	0.062576381
Amphibian	6870	37	1.568201724	54.7343213	12.89500592	-0.538277134	-1.379391641	200	324	50.85892864	8.756756757	16.35585586	0.728740456	0.670672001	1.142503314	0.432992289	7158.761048	0.616911046	1.406922362	7	0.098846136
Amphibian	6871	25	1.397940009	52.91359535	9.092159715	-0.847537619	-1.467705891	156	226	34.89706583	9.04	17.37333333	0.536916508	0.694089244	0.751693566	0.29259146	4704.901971	1.751381155	1.214453139	4	0.098249808
Amphibian	6872	23	1.361727836	48.0184526	8.187156564	-1.01109951	-1.494079327	135	199	31.719012	8.652173913	14.05533597	0.498727406	0.676172439	0.685671786	0.239936038	3971.419387	2.015441757	1.117912021	2	0.112400664
Amphibian	6873	22	1.342422681	44.05557319	7.743702617	-1.371329204	-1.421790725	114	176	28.62796955	8	11.80952381	0.491554279	0.646733569	0.677374743	0.223445684	3486.732084	1.997961572	1.095793241	1	0.123578601
Amphibian	6874	21	1.322219295	36.17413036	7.995112488	-1.994079426	-1.321607472	94	154	25.58344711	7.333333333	9.833333333	0.536729386	0.615952381	0.741354443	0.246331427	2665.451392	1.805197591	1.081706099	3	0.120680404
Amphibian	6923	60	1.77815125	153.5641843	8.768978303	3.254767546	-0.466652828	192	448	69.59239427	7.466666667	5.948022599	0.649904095	0.613045187	1.177946815	0.552840922	34568.49797	0.759118592	2.867998562	1	0.282647122
Amphibian	6924	73	1.86332286	94.68770213	14.08048849	1.258053681	-0.212510601	298	624	80.13097444	8.547945205	7.501141553	0.512629798	0.439217493	0.84940398	0.171884271	26046.01406	2.754696517	2.928267181	6	0.235913356
Amphibian	6925	66	1.819543936	52.09710938	19.27059058	0.309565934	-0.130758907	227	519	71.82230689	7.863636364	6.304195804	0.819565511	0.455388572	1.368411769	0.314224489	12403.75613	-0.313323475	2.776036092	120	0.137124979
Amphibian	6926	63	1.799340549	51.09107307	18.86881566	-0.740613888	-0.215486589	233	511	69.24976033	8.111111111	6.100358423	0.752732017	0.461572039	1.226995389	0.24754783	11674.45452	0.349503139	2.095267751	11	0.133635552
Amphibian	6927	56	1.748188027	48.60441638	16.65738927	-0.863322219	-0.241282633	182	428	61.539107	7.642857143	4.27012987	0.726968167	0.483228192	1.179790372	0.234830229	9970.047665	0.118678276	2.072453729	2	0.136778772
Amphibian	6928	54	1.73239376	42.88984794	17.10104899	-1.034168264	0.320451204	130	370	57.53177382	6.851851852	3.185185185	0.80069625	0.46543823	1.309726217	0.292930379	8200.199196	-0.254731262	2.106460334	2	0.120009356
Amphibian	6929	31	1.491361694	40.34292038	9.986196451	-1.137901192	-0.313034702	85	199	31.9850322	6.419354839	3.11827957	0.597453754	0.480385488	0.910045784	0.177267535	4555.111314	1.338289319	2.004501962	1	0.122856239
Amphibian	6930	30	1.477121255	29.51438996	11.91625095	-1.780619664	1.349252737	56	168	28.58383482	5.6	2.179310345	0.778706142	0.44041514	1.201006614	0.288956165	3032.799866	0.213820719	1.927639746	1	0.087995733
Amphibian	6931	21	1.322219295	22.56679316	8.929605536	-1.43509878	0.615065116	35	107	19.04275289	5.095238095	1.89047619	0.791471621	0.42345679	1.215401087	0.346543631	1592.610522	0.042208507	1.947298984	6	0.074377734
Amphibian	6959	23	1.361727836	34.83196858	9.186510797	-0.077019293	2.147210001	37	117	21.5764497	5.086956522	2.355731225	0.834572517	0.475	1.325853816	0.32212802	2759.993672	-0.669054048	2.43833547	1	0.042988693
Amphibian	6992	23	1.361727836	41.22880867	7.060038311	0.576976121	0.133381152	50	130	21.39858854	5.652173913	3.055335968	0.602947892	0.42345679	0.951115931	0.282596964	3380.831724	1.448254105	1.841242506	5	0.1226769
Amphibian	6993	20	1.301029996	26.20572333	8.331822209	0.041626467	0.799749423	32	102	17.61439891	5.1	1.884210526	0.760577078	0.376388889	1.164378233	0.303138403	1839.066083	0.513803168	1.597871959	2	0.046367166
Amphibian	7	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amphibian	7014	5	0.698970004	87.26017249	2.697260838	0.784028435	9.999957687	2	12	2.079441542	2.4	0.3	0.690892617	0	1.063855582	0.495161133	1369.882907	1.08253207	1.540894017	1	0.110655408
Amphibian	7034	34	1.531478917	98.68069836	6.597486515	1.581336657	-1.18428269	128	238	41.3268218	7	7.757575758	0.455249297	0.755138934	0.751935668	0.370841664	12537.23135	1.991770408	2.574690059	7	0.234759482
Amphibian	7035	30	1.477121255	49.89526861	9.799193181	-0.314296567	-1.25764878	99	195	36.03855477	6.5	6.534482759	0.613744645	0.753472753	0.93973102	0.279760935	5398.908464	1.642482118	2.553111177	6	0.109677162
Amphibian	7036	26	1.414973348	27.90308715	11.0725989	-1.536952914	-1.34293855	76	158	30.76617079	6.076923077	5.513846154	0.801956252	0.739859585	1.224557735	0.315836997	2519.563457	-0.153656719	2.086046165	5	0.073867595
Amphibian	7074	8	0.903089987	16.88199187	4.767181421	-0.87088308	-1.99992847	21	35	8.525161361	4.375	5.125	0.683401996	0.891666667	0.883877566	0.281007243	440.5020822	1.142417138	1.045789279	1	0.167100918
