"","dispersal","density","environment","speciationRate","fission","protracted","replicate","id"
"342",1,0,1,2,1,2,4,342
"343",0,1,1,2,1,2,4,343
"344",1,1,1,2,1,2,4,344
"345",0,0,0,5,1,2,4,345
"346",1,0,0,5,1,2,4,346
"347",0,1,0,5,1,2,4,347
"348",1,1,0,5,1,2,4,348
"349",0,0,1,5,1,2,4,349
"350",1,0,1,5,1,2,4,350
"351",0,1,1,5,1,2,4,351
"352",1,1,1,5,1,2,4,352
"353",0,0,0,2,2,2,4,353
"354",1,0,0,2,2,2,4,354
"355",0,1,0,2,2,2,4,355
"356",1,1,0,2,2,2,4,356
"357",0,0,1,2,2,2,4,357
"358",1,0,1,2,2,2,4,358
"359",0,1,1,2,2,2,4,359
"360",1,1,1,2,2,2,4,360
"361",0,0,0,5,2,2,4,361
"362",1,0,0,5,2,2,4,362
"363",0,1,0,5,2,2,4,363
"364",1,1,0,5,2,2,4,364
"365",0,0,1,5,2,2,4,365
"366",1,0,1,5,2,2,4,366
"367",0,1,1,5,2,2,4,367
"368",1,1,1,5,2,2,4,368
"369",0,0,0,2,3,2,4,369
"370",1,0,0,2,3,2,4,370
"371",0,1,0,2,3,2,4,371
"372",1,1,0,2,3,2,4,372
"373",0,0,1,2,3,2,4,373
"374",1,0,1,2,3,2,4,374
"375",0,1,1,2,3,2,4,375
"376",1,1,1,2,3,2,4,376
"377",0,0,0,5,3,2,4,377
"378",1,0,0,5,3,2,4,378
"379",0,1,0,5,3,2,4,379
"380",1,1,0,5,3,2,4,380
"381",0,0,1,5,3,2,4,381
"382",1,0,1,5,3,2,4,382
"383",0,1,1,5,3,2,4,383
"384",1,1,1,5,3,2,4,384
"385",0,0,0,2,1,0,5,385
"386",1,0,0,2,1,0,5,386
"387",0,1,0,2,1,0,5,387
"388",1,1,0,2,1,0,5,388
"389",0,0,1,2,1,0,5,389
"390",1,0,1,2,1,0,5,390
"391",0,1,1,2,1,0,5,391
"392",1,1,1,2,1,0,5,392
"393",0,0,0,5,1,0,5,393
"394",1,0,0,5,1,0,5,394
"395",0,1,0,5,1,0,5,395
"396",1,1,0,5,1,0,5,396
"397",0,0,1,5,1,0,5,397
"398",1,0,1,5,1,0,5,398
"399",0,1,1,5,1,0,5,399
"400",1,1,1,5,1,0,5,400
"401",0,0,0,2,2,0,5,401
"402",1,0,0,2,2,0,5,402
"403",0,1,0,2,2,0,5,403
"404",1,1,0,2,2,0,5,404
"405",0,0,1,2,2,0,5,405
"406",1,0,1,2,2,0,5,406
"407",0,1,1,2,2,0,5,407
"408",1,1,1,2,2,0,5,408
"409",0,0,0,5,2,0,5,409
"410",1,0,0,5,2,0,5,410
"411",0,1,0,5,2,0,5,411
"412",1,1,0,5,2,0,5,412
"413",0,0,1,5,2,0,5,413
"414",1,0,1,5,2,0,5,414
"415",0,1,1,5,2,0,5,415
"416",1,1,1,5,2,0,5,416
"417",0,0,0,2,3,0,5,417
"418",1,0,0,2,3,0,5,418
"419",0,1,0,2,3,0,5,419
"420",1,1,0,2,3,0,5,420
"421",0,0,1,2,3,0,5,421
"422",1,0,1,2,3,0,5,422
"423",0,1,1,2,3,0,5,423
"424",1,1,1,2,3,0,5,424
"425",0,0,0,5,3,0,5,425
"426",1,0,0,5,3,0,5,426
"427",0,1,0,5,3,0,5,427
"428",1,1,0,5,3,0,5,428
"429",0,0,1,5,3,0,5,429
"430",1,0,1,5,3,0,5,430
"431",0,1,1,5,3,0,5,431
"432",1,1,1,5,3,0,5,432
"433",0,0,0,2,1,2,5,433
"434",1,0,0,2,1,2,5,434
"435",0,1,0,2,1,2,5,435
"436",1,1,0,2,1,2,5,436
"437",0,0,1,2,1,2,5,437
"438",1,0,1,2,1,2,5,438
"439",0,1,1,2,1,2,5,439
"440",1,1,1,2,1,2,5,440
"441",0,0,0,5,1,2,5,441
"442",1,0,0,5,1,2,5,442
"443",0,1,0,5,1,2,5,443
"444",1,1,0,5,1,2,5,444
"445",0,0,1,5,1,2,5,445
"446",1,0,1,5,1,2,5,446
"447",0,1,1,5,1,2,5,447
"448",1,1,1,5,1,2,5,448
"449",0,0,0,2,2,2,5,449
"450",1,0,0,2,2,2,5,450
"451",0,1,0,2,2,2,5,451
"452",1,1,0,2,2,2,5,452
"453",0,0,1,2,2,2,5,453
"454",1,0,1,2,2,2,5,454
"455",0,1,1,2,2,2,5,455
"456",1,1,1,2,2,2,5,456
"457",0,0,0,5,2,2,5,457
"458",1,0,0,5,2,2,5,458
"459",0,1,0,5,2,2,5,459
"460",1,1,0,5,2,2,5,460
"461",0,0,1,5,2,2,5,461
"462",1,0,1,5,2,2,5,462
"463",0,1,1,5,2,2,5,463
"464",1,1,1,5,2,2,5,464
"465",0,0,0,2,3,2,5,465
"466",1,0,0,2,3,2,5,466
"467",0,1,0,2,3,2,5,467
"468",1,1,0,2,3,2,5,468
"469",0,0,1,2,3,2,5,469
"470",1,0,1,2,3,2,5,470
"471",0,1,1,2,3,2,5,471
"472",1,1,1,2,3,2,5,472
"473",0,0,0,5,3,2,5,473
"474",1,0,0,5,3,2,5,474
"475",0,1,0,5,3,2,5,475
"476",1,1,0,5,3,2,5,476
"477",0,0,1,5,3,2,5,477
"478",1,0,1,5,3,2,5,478
"479",0,1,1,5,3,2,5,479
"480",1,1,1,5,3,2,5,480
