"model","model2","experiment","parameter","metric","r","r.L95","r.U95","color","symbol"
"fh","fh.2","env","environment","Sackin",0.0597451337360091,-0.0171266361293461,0.135914746743659,"#00008BFF",17
"fh","fh.2","env","environment","Yule.PDA.ratio",0.0416434097749661,-0.0352273442510454,0.118024299346764,"#00008BFF",17
"fh","fh.2","env","environment","MRD",-0.0451759556684831,-0.121518550708554,0.0316979770389265,"#00008BFF",17
"fh","fh.2","env","environment","VRD",-0.180679998905795,-0.254469991422705,-0.104798358933816,"#00008BFF",17
"fh","fh.2","env","environment","PSV",0.355728624682389,0.284632975677837,0.422932525665918,"#00008BFF",17
"fh","fh.2","env","environment","mean.Iprime",-0.246905629990623,-0.31865898016017,-0.172338651475451,"#00008BFF",17
"fh","fh.2","env","environment","MPD",0.330127752890466,0.25805985722761,0.398542093325499,"#00008BFF",17
"fh","fh.2","env","environment","VPD",-0.118115936844905,-0.193348756921142,-0.0415022432389638,"#00008BFF",17
"fh","fh.2","env","environment","nLTT_stat",-0.191378255073264,-0.264875228403653,-0.11567054480659,"#00008BFF",17
"fh","fh.2","env","environment","PC1",-0.281215730145129,-0.35170050961662,-0.207560296198769,"#00008BFF",17
"fh","fh.2","env","environment","PC2",0.283432143715688,0.209841215007742,0.35382983252234,"#00008BFF",17
"fh","fh.2","env","environment","PC3",-0.316815523660837,-0.385824488226596,-0.244281035856402,"#00008BFF",17
"fh","fh.2","env","environment","PC4",0.22048498985205,0.145324798892599,0.293114974543783,"#00008BFF",17
"fh","fh.2","env","environment","PC5",-0.256161581457993,-0.327587325015652,-0.181824586919667,"#00008BFF",17
"fh","fh.2","env","environment","PC6",-0.163718832451822,-0.237945450201335,-0.0875909989798877,"#00008BFF",17
"fh","fh.3","env","environment","S",0.184548728158578,0.108904492345077,0.258067925943399,"#00008BFF",15
"fh","fh.3","env","environment","log10S",0.184548728158578,0.108904492345077,0.258067925943399,"#00008BFF",15
"fh","fh.3","env","environment","tree.length",0.270504182078292,0.196719748171,0.341241974672007,"#00008BFF",15
"fh","fh.3","env","environment","PD",0.348210540455295,0.276987120785298,0.41562851569275,"#00008BFF",15
"fh","fh.3","env","environment","Gamma",-0.138839140352085,-0.213475284527766,-0.0625917214847878,"#00008BFF",15
"fh","fh.3","env","environment","Beta",0.228065010892748,0.153240402588769,0.300289371437067,"#00008BFF",15
"fh","fh.3","env","environment","Colless",0.012939500533969,-0.0636760342382678,0.0894034023780022,"#00008BFF",15
"fh","fh.3","env","environment","Sackin",0.125223846713712,0.0488463049489469,0.200145414193878,"#00008BFF",15
"fh","fh.3","env","environment","Yule.PDA.ratio",0.107673600893694,0.0311612341915776,0.182931420545078,"#00008BFF",15
"fh","fh.3","env","environment","MRD",-0.00893889683687358,-0.0854312299996722,0.0676581922995693,"#00008BFF",15
"fh","fh.3","env","environment","VRD",-0.171528999079271,-0.245391442943611,-0.0956865177830557,"#00008BFF",15
"fh","fh.3","env","environment","PSV",0.399041274424038,0.32998727763163,0.463847343283807,"#00008BFF",15
"fh","fh.3","env","environment","mean.Iprime",-0.247196414294106,-0.31877840756171,-0.172810605027134,"#00008BFF",15
"fh","fh.3","env","environment","MPD",0.378530226168099,0.308551475706362,0.444433597021514,"#00008BFF",15
"fh","fh.3","env","environment","VPD",-0.16405573989861,-0.23810613389318,-0.0881090480051718,"#00008BFF",15
"fh","fh.3","env","environment","nLTT_stat",-0.167587347576916,-0.241549744728765,-0.0916890355087554,"#00008BFF",15
"fh","fh.3","env","environment","PC1",-0.342591662139564,-0.410276503527416,-0.271153193139394,"#00008BFF",15
"fh","fh.3","env","environment","PC2",0.288512763879077,0.215244398519757,0.358551206232973,"#00008BFF",15
"fh","fh.3","env","environment","PC3",-0.349488288619161,-0.416844980183977,-0.278314444164569,"#00008BFF",15
"fh","fh.3","env","environment","PC4",0.277956240557909,0.204379855866524,0.348409657991018,"#00008BFF",15
"fh","fh.3","env","environment","PC5",-0.255806381131886,-0.327084461676846,-0.181634087887377,"#00008BFF",15
"fh","fh.3","env","environment","PC6",-0.185444535978352,-0.258939375768282,-0.109814725097606,"#00008BFF",15
"gen","gen.NULL","env","niche_strength","S",0.148867144430856,0.062716533700366,0.232815674885162,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","log10S",0.148867144430856,0.062716533700366,0.232815674885162,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","tree.length",-0.0497479381717352,-0.135704019160825,0.0369514595645045,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","PD",0.168306499460747,0.0824203261270531,0.251711116518044,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","Gamma",-0.0550708204689751,-0.140951284440666,0.0316322641401821,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","Beta",0.0375423075568603,-0.0491346890369187,0.123658062409541,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","Colless",0.200152382794769,0.114814991884727,0.282557264302647,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","Sackin",0.170018350711112,0.0841580030788224,0.25337267333841,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","Yule.PDA.ratio",0.163118760216606,0.0771568428333551,0.246673418830291,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","MRD",0.210732472660595,0.12560978816917,0.29277499658412,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","VRD",0.224262029892905,0.139437885615753,0.305818966740705,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","PSV",-0.0240598366775269,-0.11032976253395,0.0625699219181351,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","mean.Iprime",-0.0787746069524248,-0.164274167978995,0.00789978210219901,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","MPD",0.0529459319020692,-0.0337561247907139,0.138857017967295,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","VPD",-0.316614057706044,-0.394171597128169,-0.2345787622307,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","nLTT_stat",-0.102480865058752,-0.187527156487615,-0.0159095113115045,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","PC1",-0.176387176461898,-0.259550959493367,-0.090626549765835,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","PC2",0.0845249281898604,-0.00213133297285893,0.169921197921126,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","PC3",-0.178256502414813,-0.261363333856516,-0.0925262369391184,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","PC4",-0.0676014771779943,-0.153289575294714,0.0190956428879389,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","PC5",0.169749067032934,0.0838846294681209,0.253111327056763,"#32CD32FF",16
"gen","gen.NULL","env","niche_strength","PC6",0.228760118633175,0.144041249436804,0.310150058317505,"#32CD32FF",16
"gen","gen.TEMPSP","env","niche_strength","S",0.0647287667739978,-0.0530169566680855,0.180699305375955,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","log10S",0.0647287667739978,-0.0530169566680855,0.180699305375955,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","tree.length",-0.198865571374188,-0.309934155563235,-0.0824421624475679,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","PD",0.100746377107323,-0.016970312293377,0.215708317114447,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","Gamma",0.0788867662116558,-0.0388752711158566,0.194487522482183,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","Beta",-0.105485123186793,-0.220297691022832,0.0122103469042538,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","Colless",0.143439889121318,0.026063054633179,0.256915388573797,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","Sackin",0.100167439121548,-0.0175515631787471,0.215147361782026,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","Yule.PDA.ratio",0.0768443941583466,-0.0409174961151059,0.192500625014948,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","MRD",0.24713241005975,0.132033632879846,0.355655782023163,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","VRD",0.364914972558826,0.255159763576457,0.46538587148307,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","PSV",-0.280621851266599,-0.387126731815076,-0.166726923299426,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","mean.Iprime",0.0108673759368631,-0.106493161706838,0.127929276561967,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","MPD",-0.147711463057856,-0.261020752065177,-0.0303872436925338,"#32CD32FF",17
"gen","gen.TEMPSP","env","niche_strength","VPD",-0.0655837614498538,-0.181532948474434,0.0521639592051949,"#32CD32FF",17
