"","spp.name","region"
"777",123048,7
"778",123059,2
"779",123076,3
"780",123087,3
"781",123088,8
"782",123093,9
"783",123107,9
"784",123120,3
"785",123125,10
"786",123130,8
"787",123152,2
"788",123156,5
"789",123170,5
"790",123173,8
"791",123179,7
"792",123185,4
"793",123194,5
"794",123196,9
"795",123199,7
"796",123202,6
"797",123219,2
"798",123226,8
"799",123228,8
"800",123242,9
"801",123249,4
"802",123257,5
"803",123262,7
"804",123269,8
"805",123278,8
"806",123280,4
"807",123286,6
"808",123303,9
"809",123306,9
"810",123315,10
"811",123326,2
"812",123327,6
"813",123329,5
"814",123336,7
"815",123340,7
"816",123342,1
"817",123353,7
"818",123354,5
"819",123355,7
"820",123362,3
"821",123363,4
"822",123365,10
"823",123368,8
"824",123369,9
"825",123370,2
"826",123372,8
"827",123374,3
"828",123375,6
"829",123381,6
"830",123387,2
"831",123388,2
"832",123389,7
"833",123396,3
"834",123400,3
"835",123402,5
"836",123405,2
"837",123409,9
"838",123419,3
"839",123422,2
"840",123433,8
"841",123434,5
"842",123435,5
"843",123443,6
"844",123451,9
"845",123465,4
"846",123466,3
"847",123478,2
"848",123481,5
"849",123493,2
"850",123494,3
"851",123500,4
"852",123508,10
"853",123509,10
"854",123512,10
"855",123525,5
"856",123531,10
"857",123544,10
"858",123548,3
"859",123554,3
"860",123556,7
"861",123565,1
"862",123566,4
"863",123572,3
"864",123580,5
"865",123584,5
"866",123586,2
"867",123588,10
"868",123589,1
"869",123606,8
"870",123608,8
"871",123613,7
"872",123614,7
"873",123620,3
"874",123622,1
"875",123623,7
"876",123634,7
"877",123636,7
"878",123642,5
"879",123656,7
"880",123658,2
"881",123659,7
"882",123661,5
"883",123673,9
"884",123678,1
"885",123679,2
"886",123694,5
"887",123696,6
"888",123707,1
"889",123708,10
"890",123717,5
"891",123721,6
"892",123723,9
"893",123726,2
"894",123731,4
"895",123733,10
"896",123741,4
"897",123743,8
"898",123750,10
"899",123751,2
"900",123757,8
"901",123760,7
"902",123767,4
"903",123773,5
"904",123774,10
"905",123778,10
"906",123790,4
"907",123795,7
"908",123796,1
"909",123797,6
"910",123824,4
"911",123846,5
"912",123855,7
"913",123873,9
"914",123875,9
"915",123878,4
"916",123885,1
"917",123903,7
"918",123904,1
"919",123908,7
"920",123912,6
"921",123917,5
"922",123923,5
"923",123931,9
"924",123932,4
"925",123934,10
"926",123938,4
"927",123939,5
"928",123947,6
"929",123951,5
"930",123963,2
"931",123966,6
"932",123971,3
"933",123985,2
"934",123988,9
"935",123996,10
"936",124001,1
"937",124005,5
"938",124008,5
"939",124012,6
"940",124016,4
"941",124017,6
"942",124018,6
"943",124031,2
"944",124037,2
"945",124038,6
"946",124040,10
"947",124057,8
"948",124071,10
"949",124086,4
"950",124089,6
"951",124092,7
"952",124098,4
"953",124101,7
"954",124115,9
"955",124135,8
"956",124137,6
"957",124139,5
"958",124140,6
"959",124157,4
"960",124159,5
"961",124165,10
"962",124171,6
"963",124174,9
"964",124185,7
"965",124186,5
"966",124201,8
"967",124207,2
"968",124221,10
"969",124234,7
"970",124241,6
"971",124245,10
"972",124249,8
"973",124254,10
"974",124255,6
"975",124273,5
"976",124276,8
"977",124279,4
"978",124286,8
"979",124290,1
"980",124303,1
"981",124304,7
"982",124306,9
"983",124316,10
"984",124317,4
"985",124319,9
"986",124325,9
"987",124333,1
"988",124338,2
"989",124346,5
"990",124358,1
"991",124368,8
"992",124370,5
"993",124378,3
"994",124383,4
"995",124388,4
"996",124395,5
"997",124403,4
"998",124407,3
"999",124409,9
"1000",124438,5
"1001",124441,1
"1002",124442,6
"1003",124444,9
"1004",124446,2
"1005",124448,4
"1006",124449,4
"1007",124450,9
"1008",124460,3
"1009",124461,10
"1010",124462,4
"1011",124471,1
"1012",124475,7
"1013",124477,5
"1014",124486,5
"1015",124495,6
"1016",124500,7
"1017",124503,1
"1018",124511,10
"1019",124517,6
"1020",124518,6
"1021",124519,7
"1022",124545,9
"1023",124553,7
"1024",124555,9
"1025",124556,10
"1026",124563,1
"1027",124565,5
"1028",124569,6
"1029",124572,4
"1030",124596,7
"1031",124615,9
"1032",124618,7
"1033",124626,7
"1034",124631,2
"1035",124632,7
"1036",124637,2
"1037",124638,7
"1038",124639,7
"1039",124640,8
"1040",124642,8
"1041",124650,3
"1042",124652,6
"1043",124661,10
"1044",124669,5
"1045",124675,8
"1046",124676,7
"1047",124679,7
"1048",124688,8
"1049",124690,9
"1050",124691,10
"1051",124696,8
"1052",124702,6
"1053",124708,1
"1054",124716,8
"1055",124725,8
"1056",124728,6
"1057",124731,9
"1058",124742,3
"1059",124747,5
"1060",124754,7
"1061",124759,10
"1062",124769,6
"1063",124770,6
"1064",124771,8
"1065",124772,1
"1066",124773,3
"1067",124779,5
"1068",124781,5
"1069",124787,5
"1070",124788,5
"1071",124792,3
"1072",124795,3
"1073",124800,7
"1074",124802,4
"1075",124818,6
"1076",124821,1
"1077",124831,3
"1078",124834,6
"1079",124841,4
"1080",124846,10
"1081",124863,4
"1082",124878,4
"1083",124883,8
"1084",124884,9
"1085",124887,5
"1086",124889,10
"1087",124890,5
"1088",124892,6
"1089",124907,9
"1090",124920,3
"1091",124927,8
"1092",124929,5
"1093",124934,2
"1094",124935,8
"1095",124941,9
"1096",124943,6
"1097",124948,4
"1098",124951,9
"1099",124969,10
"1100",124980,4
"1101",124984,2
"1102",124996,5
"1103",124997,6
"1104",125001,7
"1105",125012,1
"1106",125013,8
"1107",125017,8
"1108",125024,4
"1109",125030,9
"1110",125035,2
"1111",125037,7
"1112",125039,3
"1113",125042,7
"1114",125044,10
"1115",125046,7
"1116",125047,7
"1117",125049,10
"1118",125052,4
"1119",125058,5
"1120",125072,8
"1121",125079,6
"1122",125085,8
"1123",125086,7
"1124",125099,4
"1125",125103,8
"1126",125109,9
"1127",125114,9
"1128",125116,6
"1129",125125,6
"1130",125127,7
"1131",125133,9
"1132",125138,2
"1133",125141,6
"1134",125147,8
"1135",125148,4
"1136",125150,2
"1137",125157,7
"1138",125162,8
"1139",125164,8
"1140",125165,7
"1141",125166,8
"1142",125168,6
"1143",125173,7
"1144",125174,10
"1145",125183,7
"1146",125192,7
"1147",125195,4
"1148",125200,8
"1149",125208,6
"1150",125209,9
"1151",125214,9
"1152",125215,10
"1153",125219,1
"1154",125226,10
"1155",125234,8
"1156",125236,10
"1157",125238,3
"1158",125243,10
"1159",125244,8
"1160",125245,8
"1161",125250,8
"1162",125256,6
"1163",125260,3
"1164",125267,4
"1165",125270,6
"1166",125276,9
"1167",125278,5
"1168",125283,3
"1169",125290,3
"1170",125298,1
"1171",125300,6
"1172",125303,8
"1173",125310,9
"1174",125312,10
"1175",125315,3
"1176",125317,10
"1177",125319,9
"1178",125321,2
"1179",125322,8
"1180",125330,7
"1181",125343,3
"1182",125346,2
"1183",125349,8
"1184",125351,2
"1185",125352,5
"1186",125360,10
"1187",125365,7
"1188",125374,7
"1189",125375,7
"1190",125378,3
"1191",125380,7
"1192",125384,6
"1193",125393,9
"1194",125396,9
"1195",125398,3
"1196",125405,8
"1197",125410,3
"1198",125412,2
"1199",125420,3
"1200",125427,2
"1201",125429,8
"1202",125443,9
"1203",125446,6
"1204",125451,10
"1205",125452,5
"1206",125454,7
"1207",125456,9
"1208",125458,3
"1209",125460,9
"1210",125463,1
"1211",125470,4
"1212",125473,4
"1213",125475,1
"1214",125488,10
"1215",125489,5
"1216",125491,9
"1217",125496,2
"1218",125498,9
"1219",125502,7
"1220",125504,6
"1221",125508,6
"1222",125509,4
"1223",125510,5
"1224",125513,9
"1225",125522,6
"1226",125526,9
"1227",125535,6
"1228",125540,6
"1229",125541,7
"1230",125550,10
"1231",125555,2
"1232",125559,9
"1233",125569,2
"1234",125574,9
"1235",125577,8
"1236",125586,3
"1237",125589,6
"1238",125590,3
"1239",125594,2
"1240",125597,4
"1241",125604,10
"1242",125615,4
"1243",125619,8
"1244",125620,10
"1245",125621,10
"1246",125625,5
"1247",125631,8
"1248",125632,10
"1249",125635,5
"1250",125643,4
"1251",125644,9
"1252",125649,1
"1253",125650,5
"1254",125654,3
"1255",125659,3
"1256",125665,10
"1257",125671,1
"1258",125687,2
"1259",125688,10
"1260",125718,1
"1261",125723,6
"1262",125731,8
"1263",125733,10
"1264",125737,6
"1265",125738,3
"1266",125742,8
"1267",125746,4
"1268",125747,9
"1269",125748,9
"1270",125751,10
"1271",125757,6
"1272",125765,4
"1273",125770,8
"1274",125772,1
"1275",125777,10
"1276",125779,1
"1277",125784,3
"1278",125789,8
"1279",125794,5
"1280",125796,7
"1281",125799,6
"1282",125801,10
"1283",125804,2
"1284",125805,9
"1285",125810,6
"1286",125817,4
"1287",125818,5
"1288",125826,5
"1289",125838,1
"1290",125839,8
"1291",125843,10
"1292",125844,8
"1293",125856,3
"1294",125862,2
"1295",125863,9
"1296",125871,10
"1297",125872,3
"1298",125873,5
"1299",125875,6
