"model","simID","L","v","Psi","s_phi","s_spar","s_disp","ticks","seed","file"
"XE","13213","333","1e-04","0.5","0.707106781186548","10","0.1","1e+07","3","13213.m"
"XE","13221","333","1e-04","0.5","70.7106781186548","10","0.1","1e+07","1","13221.m"
"XE","13222","333","1e-04","0.5","70.7106781186548","10","0.1","1e+07","2","13222.m"
"XE","13223","333","1e-04","0.5","70.7106781186548","10","0.1","1e+07","3","13223.m"
"XE","13231","333","1e-04","0.5","7071.06781186548","10","0.1","1e+07","1","13231.m"
"XE","13232","333","1e-04","0.5","7071.06781186548","10","0.1","1e+07","2","13232.m"
"XE","13233","333","1e-04","0.5","7071.06781186548","10","0.1","1e+07","3","13233.m"
"XE","13241","333","1e-04","0.5","707106.781186548","10","0.1","1e+07","1","13241.m"
"XE","13242","333","1e-04","0.5","707106.781186548","10","0.1","1e+07","2","13242.m"
"XE","13243","333","1e-04","0.5","707106.781186548","10","0.1","1e+07","3","13243.m"
"XE","13251","333","1e-04","0.5","70710678.1186548","10","0.1","1e+07","1","13251.m"
"XE","13252","333","1e-04","0.5","70710678.1186548","10","0.1","1e+07","2","13252.m"
"XE","13253","333","1e-04","0.5","70710678.1186548","10","0.1","1e+07","3","13253.m"
"XE","13261","333","1e-04","0.5","-1","10","0.1","1e+07","1","13261.m"
"XE","13262","333","1e-04","0.5","-1","10","0.1","1e+07","2","13262.m"
"XE","13263","333","1e-04","0.5","-1","10","0.1","1e+07","3","13263.m"
"XE","13311","333","1e-04","1","0.707106781186548","10","0.1","1e+07","1","13311.m"
"XE","13312","333","1e-04","1","0.707106781186548","10","0.1","1e+07","2","13312.m"
"XE","13313","333","1e-04","1","0.707106781186548","10","0.1","1e+07","3","13313.m"
"XE","13321","333","1e-04","1","70.7106781186548","10","0.1","1e+07","1","13321.m"
"XE","13322","333","1e-04","1","70.7106781186548","10","0.1","1e+07","2","13322.m"
"XE","13323","333","1e-04","1","70.7106781186548","10","0.1","1e+07","3","13323.m"
"XE","13331","333","1e-04","1","7071.06781186548","10","0.1","1e+07","1","13331.m"
"XE","13332","333","1e-04","1","7071.06781186548","10","0.1","1e+07","2","13332.m"
"XE","13333","333","1e-04","1","7071.06781186548","10","0.1","1e+07","3","13333.m"
"XE","13341","333","1e-04","1","707106.781186548","10","0.1","1e+07","1","13341.m"
"XE","13342","333","1e-04","1","707106.781186548","10","0.1","1e+07","2","13342.m"
"XE","13343","333","1e-04","1","707106.781186548","10","0.1","1e+07","3","13343.m"
"XE","13351","333","1e-04","1","70710678.1186548","10","0.1","1e+07","1","13351.m"
"XE","13352","333","1e-04","1","70710678.1186548","10","0.1","1e+07","2","13352.m"
"XE","13353","333","1e-04","1","70710678.1186548","10","0.1","1e+07","3","13353.m"
"XE","13361","333","1e-04","1","-1","10","0.1","1e+07","1","13361.m"
"XE","13362","333","1e-04","1","-1","10","0.1","1e+07","2","13362.m"
"XE","13363","333","1e-04","1","-1","10","0.1","1e+07","3","13363.m"
"XE","13411","333","1e-04","0.25","0.707106781186548","10","0.1","1e+07","1","13411.m"
"XE","13412","333","1e-04","0.25","0.707106781186548","10","0.1","1e+07","2","13412.m"
"XE","13413","333","1e-04","0.25","0.707106781186548","10","0.1","1e+07","3","13413.m"
"XE","13421","333","1e-04","0.25","70.7106781186548","10","0.1","1e+07","1","13421.m"
"XE","13422","333","1e-04","0.25","70.7106781186548","10","0.1","1e+07","2","13422.m"
"XE","13423","333","1e-04","0.25","70.7106781186548","10","0.1","1e+07","3","13423.m"
"XE","13431","333","1e-04","0.25","7071.06781186548","10","0.1","1e+07","1","13431.m"
"XE","13432","333","1e-04","0.25","7071.06781186548","10","0.1","1e+07","2","13432.m"
"XE","13433","333","1e-04","0.25","7071.06781186548","10","0.1","1e+07","3","13433.m"
"XE","13441","333","1e-04","0.25","707106.781186548","10","0.1","1e+07","1","13441.m"
"XE","13442","333","1e-04","0.25","707106.781186548","10","0.1","1e+07","2","13442.m"
"XE","13443","333","1e-04","0.25","707106.781186548","10","0.1","1e+07","3","13443.m"
"XE","13451","333","1e-04","0.25","70710678.1186548","10","0.1","1e+07","1","13451.m"
"XE","13452","333","1e-04","0.25","70710678.1186548","10","0.1","1e+07","2","13452.m"
"XE","13453","333","1e-04","0.25","70710678.1186548","10","0.1","1e+07","3","13453.m"
"XE","13461","333","1e-04","0.25","-1","10","0.1","1e+07","1","13461.m"
"XE","13462","333","1e-04","0.25","-1","10","0.1","1e+07","2","13462.m"
"XE","13463","333","1e-04","0.25","-1","10","0.1","1e+07","3","13463.m"
"XE","13511","333","1e-04","0.75","0.707106781186548","10","0.1","1e+07","1","13511.m"
"XE","13512","333","1e-04","0.75","0.707106781186548","10","0.1","1e+07","2","13512.m"
"XE","13513","333","1e-04","0.75","0.707106781186548","10","0.1","1e+07","3","13513.m"
"XE","13521","333","1e-04","0.75","70.7106781186548","10","0.1","1e+07","1","13521.m"
"XE","13522","333","1e-04","0.75","70.7106781186548","10","0.1","1e+07","2","13522.m"
"XE","13523","333","1e-04","0.75","70.7106781186548","10","0.1","1e+07","3","13523.m"
"XE","13531","333","1e-04","0.75","7071.06781186548","10","0.1","1e+07","1","13531.m"
"XE","13532","333","1e-04","0.75","7071.06781186548","10","0.1","1e+07","2","13532.m"
"XE","13533","333","1e-04","0.75","7071.06781186548","10","0.1","1e+07","3","13533.m"
"XE","13541","333","1e-04","0.75","707106.781186548","10","0.1","1e+07","1","13541.m"
"XE","13542","333","1e-04","0.75","707106.781186548","10","0.1","1e+07","2","13542.m"
"XE","13543","333","1e-04","0.75","707106.781186548","10","0.1","1e+07","3","13543.m"
"XE","13551","333","1e-04","0.75","70710678.1186548","10","0.1","1e+07","1","13551.m"
"XE","13552","333","1e-04","0.75","70710678.1186548","10","0.1","1e+07","2","13552.m"
"XE","13553","333","1e-04","0.75","70710678.1186548","10","0.1","1e+07","3","13553.m"
"XE","13561","333","1e-04","0.75","-1","10","0.1","1e+07","1","13561.m"
"XE","13562","333","1e-04","0.75","-1","10","0.1","1e+07","2","13562.m"
"XE","13563","333","1e-04","0.75","-1","10","0.1","1e+07","3","13563.m"
"XE","21111","333","1e-04","0","0.707106781186548","0.1","1","1e+07","1","21111.m"
"XE","21112","333","1e-04","0","0.707106781186548","0.1","1","1e+07","2","21112.m"
"XE","21113","333","1e-04","0","0.707106781186548","0.1","1","1e+07","3","21113.m"
"XE","21121","333","1e-04","0","70.7106781186548","0.1","1","1e+07","1","21121.m"
"XE","21122","333","1e-04","0","70.7106781186548","0.1","1","1e+07","2","21122.m"
"XE","21123","333","1e-04","0","70.7106781186548","0.1","1","1e+07","3","21123.m"
"XE","21131","333","1e-04","0","7071.06781186548","0.1","1","1e+07","1","21131.m"
"XE","21132","333","1e-04","0","7071.06781186548","0.1","1","1e+07","2","21132.m"
"XE","21133","333","1e-04","0","7071.06781186548","0.1","1","1e+07","3","21133.m"
"XE","21141","333","1e-04","0","707106.781186548","0.1","1","1e+07","1","21141.m"
"XE","21142","333","1e-04","0","707106.781186548","0.1","1","1e+07","2","21142.m"
"XE","21143","333","1e-04","0","707106.781186548","0.1","1","1e+07","3","21143.m"
"XE","21151","333","1e-04","0","70710678.1186548","0.1","1","1e+07","1","21151.m"
"XE","21152","333","1e-04","0","70710678.1186548","0.1","1","1e+07","2","21152.m"
"XE","21153","333","1e-04","0","70710678.1186548","0.1","1","1e+07","3","21153.m"
"XE","21161","333","1e-04","0","-1","0.1","1","1e+07","1","21161.m"
"XE","21162","333","1e-04","0","-1","0.1","1","1e+07","2","21162.m"
"XE","21163","333","1e-04","0","-1","0.1","1","1e+07","3","21163.m"
"XE","21211","333","1e-04","0.5","0.707106781186548","0.1","1","1e+07","1","21211.m"
"XE","21212","333","1e-04","0.5","0.707106781186548","0.1","1","1e+07","2","21212.m"
"XE","21213","333","1e-04","0.5","0.707106781186548","0.1","1","1e+07","3","21213.m"
"XE","21221","333","1e-04","0.5","70.7106781186548","0.1","1","1e+07","1","21221.m"
"XE","21222","333","1e-04","0.5","70.7106781186548","0.1","1","1e+07","2","21222.m"
"XE","21223","333","1e-04","0.5","70.7106781186548","0.1","1","1e+07","3","21223.m"
"XE","21231","333","1e-04","0.5","7071.06781186548","0.1","1","1e+07","1","21231.m"
"XE","21232","333","1e-04","0.5","7071.06781186548","0.1","1","1e+07","2","21232.m"
"XE","21233","333","1e-04","0.5","7071.06781186548","0.1","1","1e+07","3","21233.m"
"XE","21241","333","1e-04","0.5","707106.781186548","0.1","1","1e+07","1","21241.m"
"XE","21242","333","1e-04","0.5","707106.781186548","0.1","1","1e+07","2","21242.m"
"XE","21243","333","1e-04","0.5","707106.781186548","0.1","1","1e+07","3","21243.m"
"XE","21251","333","1e-04","0.5","70710678.1186548","0.1","1","1e+07","1","21251.m"
"XE","21252","333","1e-04","0.5","70710678.1186548","0.1","1","1e+07","2","21252.m"
"XE","21253","333","1e-04","0.5","70710678.1186548","0.1","1","1e+07","3","21253.m"
"XE","21261","333","1e-04","0.5","-1","0.1","1","1e+07","1","21261.m"
"XE","21262","333","1e-04","0.5","-1","0.1","1","1e+07","2","21262.m"
"XE","21263","333","1e-04","0.5","-1","0.1","1","1e+07","3","21263.m"
"XE","21311","333","1e-04","1","0.707106781186548","0.1","1","1e+07","1","21311.m"
"XE","21312","333","1e-04","1","0.707106781186548","0.1","1","1e+07","2","21312.m"
"XE","21313","333","1e-04","1","0.707106781186548","0.1","1","1e+07","3","21313.m"
